id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-62737-488-0,Haynes,Jessica,f,Comets,7,6,7,2025-07-18 09:00:00
978-0-458-46711-2,Levine,Eric,m,Beavers,6,9,12,2025-07-26 02:20:00
978-1-5323-6862-2,Edwards,Tom,m,Beavers,7,7,12,2025-07-28 23:20:00
978-1-155-97421-7,Rodriguez,Jody,f,Beavers,6,7,11,2025-06-13 13:40:00
978-1-879900-36-3,Faulkner,Sara,f,Beavers,9,8,9,2025-07-06 20:40:00
978-0-356-05713-2,Bowen,Jeffrey,m,Beavers,8,10,7,2025-07-24 02:40:00
978-0-06-412093-7,Barrera,Sara,f,Comets,6,10,9,2025-07-19 17:40:00
978-0-667-82252-8,Taylor,Jeffrey,m,Stars,6,10,9,2025-08-20 21:40:00
978-1-79640-390-9,Grant,Alex,m,Stars,7,6,7,2025-07-07 10:40:00
978-1-175-99538-4,Anderson,Zachary,m,Beavers,8,8,7,2025-08-17 06:20:00
978-1-06-666942-4,Young,Brian,m,Stars,9,11,9,2025-06-15 22:20:00
978-0-8281-5301-0,Schroeder,Ryan,m,Comets,9,11,8,2025-06-02 15:20:00
978-0-379-49242-2,Williams,Collin,m,Comets,7,7,7,2025-08-09 15:20:00
978-1-275-39317-2,Watts,James,m,Comets,7,9,6,2025-08-20 02:20:00
978-0-460-36089-0,Thompson,Joseph,m,Stars,11,7,10,2025-07-07 07:40:00
978-1-7350051-5-7,Washington,Ebony,f,Stars,9,10,9,2025-08-17 22:00:00
978-0-254-99786-8,Thomas,Michelle,f,Stars,9,9,8,2025-08-22 05:20:00
978-0-10-842654-4,Villanueva,Matthew,m,Beavers,9,10,7,2025-06-01 19:00:00
978-0-88522-672-6,Davis,Roger,m,Beavers,8,10,7,2025-08-14 04:40:00
978-1-60803-323-2,Ruiz,Matthew,m,Stars,12,8,7,2025-07-02 06:20:00
978-1-71432-502-3,Mullen,Christopher,m,Comets,6,7,10,2025-07-14 01:40:00
978-0-374-00363-0,Green,Michael,m,Comets,9,9,10,2025-08-16 08:40:00
978-1-258-28830-3,Novak,Gregory,m,Comets,8,8,9,2025-06-21 14:00:00
978-1-55612-675-8,Williams,Jeffery,m,Comets,10,10,9,2025-08-09 04:00:00
978-1-02-699311-8,Farmer,William,m,Comets,10,9,6,2025-08-13 07:20:00
978-1-77416-157-9,Murphy,Ryan,m,Stars,11,12,12,2025-08-10 16:00:00
978-0-422-03284-1,Waters,Jamie,f,Comets,9,11,9,2025-07-09 08:40:00
978-1-382-87632-2,Sanchez,Robert,m,Beavers,7,7,7,2025-06-29 07:20:00
978-0-85969-382-0,Harris,Megan,f,Comets,12,11,8,2025-06-24 12:20:00
978-0-7493-0137-8,Price,Samuel,m,Beavers,9,10,12,2025-08-13 09:40:00
978-0-10-359873-4,Howell,Lisa,f,Beavers,7,8,9,2025-07-06 02:20:00
978-0-598-86343-0,Alexander,Kyle,m,Beavers,7,6,11,2025-07-03 21:40:00
978-0-503-16941-1,Robinson,Caleb,m,Stars,8,9,6,2025-06-26 08:20:00
978-1-69387-418-5,Allen,Randy,m,Beavers,9,8,12,2025-08-10 21:20:00
978-0-17-482918-8,Valdez,Tyler,m,Beavers,7,9,12,2025-08-13 23:00:00
978-1-63329-561-2,Jones,Lisa,f,Stars,8,12,8,2025-06-22 18:00:00
978-0-584-24926-2,Robbins,James,m,Beavers,6,9,9,2025-08-12 14:00:00
978-1-152-00239-5,Pope,Anthony,m,Stars,8,10,8,2025-07-18 00:20:00
978-0-03-685776-2,Salinas,Tanya,f,Stars,6,8,9,2025-07-10 03:00:00
978-1-5450-5643-1,Peterson,Manuel,m,Stars,11,7,9,2025-06-08 05:40:00
978-0-579-14119-9,Manning,Joshua,m,Beavers,6,10,10,2025-08-18 17:20:00
978-0-219-30093-1,Martinez,Jennifer,f,Stars,9,8,9,2025-06-25 12:00:00
978-0-18-716812-0,Wilson,Kristina,f,Comets,10,7,8,2025-06-07 07:20:00
978-0-213-48206-0,Robinson,Joseph,m,Beavers,8,11,9,2025-06-03 09:20:00
978-1-5492-1850-7,Lynch,Angela,f,Stars,8,10,9,2025-06-28 07:40:00
978-0-04-787415-4,Ortiz,Samuel,m,Beavers,10,10,9,2025-06-12 20:00:00
978-0-274-54230-7,Brooks,Matthew,m,Comets,8,10,9,2025-08-28 06:20:00
978-1-994892-51-2,Harrington,Erik,m,Comets,8,12,10,2025-07-14 09:40:00
978-1-82101-264-9,Ford,Sandra,f,Stars,12,12,7,2025-08-24 05:40:00
978-1-64159-890-3,Moore,Ann,f,Comets,9,8,10,2025-07-31 09:00:00
