id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-602-78950-3,Turner,Adam,m,Stars,7,6,6,2025-07-29 20:40:00
978-0-307-93969-2,Chavez,Cory,m,Explorers,8,8,8,2025-08-09 03:20:00
978-0-14-673135-8,Villarreal,Scott,m,Explorers,8,9,6,2025-07-01 15:40:00
978-1-07-930527-2,Roberts,Anthony,m,Beavers,11,6,10,2025-07-28 16:00:00
978-1-61959-135-6,Mitchell,Ronald,m,Stars,9,8,7,2025-07-13 09:00:00
978-1-303-35230-0,Mccoy,James,m,Beavers,9,12,10,2025-08-08 20:40:00
978-1-347-22527-1,Spencer,Steven,m,Beavers,9,9,8,2025-08-02 00:20:00
978-0-559-79139-0,Obrien,Joel,m,Beavers,11,9,11,2025-06-15 09:20:00
978-1-911653-85-1,Bush,Natalie,f,Stars,10,12,9,2025-07-08 04:20:00
978-1-951961-60-2,Edwards,Juan,m,Explorers,9,7,9,2025-06-16 06:00:00
978-0-7459-3257-6,Fuller,Marie,f,Explorers,8,9,11,2025-08-09 08:20:00
978-0-574-74860-7,Paul,David,m,Explorers,7,10,9,2025-06-15 16:20:00
978-0-00-654439-5,White,Andrew,m,Beavers,7,9,9,2025-06-30 20:40:00
978-0-15-617011-6,Jones,Joseph,m,Beavers,10,11,12,2025-07-19 08:00:00
978-1-185-65546-9,Cook,Steven,m,Beavers,9,8,10,2025-07-01 15:00:00
978-0-597-51448-7,Mills,Sean,m,Beavers,7,7,7,2025-07-02 04:00:00
978-0-89777-125-2,Robinson,Joe,m,Explorers,9,6,10,2025-08-27 06:40:00
978-0-18-334918-9,Garrett,Johnny,m,Stars,7,10,10,2025-06-27 15:20:00
978-0-694-21904-9,Franklin,Stacey,f,Beavers,7,10,12,2025-08-30 11:40:00
978-0-9590728-1-5,Johnson,Natasha,f,Explorers,8,10,10,2025-06-19 07:20:00
978-0-10-542324-9,Walker,William,m,Explorers,7,10,10,2025-08-12 04:40:00
978-0-206-21811-9,Haynes,David,m,Explorers,11,9,11,2025-06-09 01:40:00
978-1-70663-495-9,Paul,Rachel,f,Stars,12,10,8,2025-06-21 11:20:00
978-1-75588-256-1,Shepherd,Charles,m,Stars,6,11,9,2025-06-07 09:00:00
978-0-495-19661-7,Garza,Frank,m,Explorers,9,11,12,2025-07-20 13:40:00
978-1-69709-159-5,Garcia,Sean,m,Explorers,10,7,7,2025-06-12 05:00:00
978-0-931745-77-5,Sanders,Matthew,m,Stars,8,8,9,2025-06-01 17:40:00
978-0-549-55416-5,Abbott,Jeanne,f,Beavers,10,7,9,2025-08-01 22:00:00
978-1-121-46411-7,Taylor,Christopher,m,Beavers,10,9,7,2025-06-20 22:00:00
978-1-85310-698-9,Oliver,Jason,m,Beavers,6,10,8,2025-06-08 23:00:00
978-1-4134-6856-4,Smith,David,m,Beavers,6,9,8,2025-08-08 14:40:00
978-1-58533-603-6,Carey,Cynthia,f,Stars,8,12,8,2025-08-13 10:40:00
978-1-9828-2431-0,Robinson,Kenneth,m,Explorers,10,12,9,2025-06-19 01:40:00
978-0-941931-87-8,Williams,Tommy,m,Beavers,9,11,12,2025-06-05 04:40:00
978-0-7427-2567-6,Lee,David,m,Explorers,10,9,9,2025-08-12 21:20:00
978-0-19-665597-0,Warren,Chris,m,Stars,8,10,7,2025-08-09 11:40:00
978-0-7970-1975-1,Meyer,Crystal,f,Stars,10,10,11,2025-06-11 07:40:00
978-0-571-41596-0,Page,Edward,m,Stars,8,10,10,2025-08-15 17:00:00
978-1-285-79105-0,Jones,Alexis,f,Explorers,10,7,7,2025-06-22 18:00:00
978-1-961595-00-2,Brown,Jose,m,Explorers,6,6,9,2025-06-07 05:40:00
978-1-5261-4945-9,Garcia,Theresa,f,Explorers,9,9,8,2025-08-28 13:00:00
978-1-158-21569-0,Mitchell,Kyle,m,Beavers,10,9,10,2025-07-02 09:00:00
978-0-89178-737-2,Stewart,Randy,m,Beavers,12,10,9,2025-06-17 19:00:00
978-0-217-17115-1,Thompson,Lauren,f,Stars,9,12,8,2025-06-09 13:00:00
978-0-627-68562-0,Lopez,Laura,f,Stars,9,8,6,2025-06-25 22:00:00
978-1-995785-64-6,Garner,Ashley,f,Stars,12,9,8,2025-07-25 02:20:00
978-1-224-47262-0,Caldwell,James,m,Explorers,11,9,10,2025-06-10 00:40:00
978-1-902722-87-0,May,Michael,m,Beavers,8,8,10,2025-06-18 06:40:00
978-1-142-79858-1,Dougherty,Ryan,m,Explorers,10,9,7,2025-06-20 11:00:00
978-0-608-04513-9,Solis,Ryan,m,Explorers,10,6,6,2025-06-13 06:40:00
