id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-7613-8614-8,Anderson,Andrew,m,Pathfinders,7,7,7,2025-07-25 13:20:00
978-1-00-648156-7,Guerra,Sarah,f,Pathfinders,9,12,10,2025-08-11 09:20:00
978-1-4753-3568-2,Deleon,Melissa,f,Outlanders,10,9,6,2025-07-20 18:00:00
978-1-225-40080-6,Santiago,Timothy,m,Pathfinders,9,11,10,2025-08-01 10:40:00
978-1-67057-179-3,Lang,Terry,m,Outlanders,6,6,9,2025-06-04 06:00:00
978-0-933261-22-8,Adams,Angela,f,Rangers,10,9,6,2025-07-30 07:40:00
978-0-376-23923-5,Figueroa,Kimberly,f,Pathfinders,11,9,9,2025-08-10 16:20:00
978-0-527-18688-3,Rios,Carmen,f,Pathfinders,6,9,9,2025-07-02 02:20:00
978-0-255-54488-7,Vincent,Kristin,f,Outlanders,7,6,8,2025-06-14 09:00:00
978-1-275-27252-1,Moore,Ryan,m,Outlanders,6,11,9,2025-08-25 16:40:00
978-0-9565596-7-8,Patel,Alicia,f,Outlanders,11,6,6,2025-06-13 10:20:00
978-1-79596-011-3,Garcia,Emily,f,Rangers,10,6,9,2025-08-06 05:20:00
978-0-8257-8376-0,Salazar,Heather,f,Outlanders,6,10,6,2025-06-24 23:20:00
978-1-968599-83-6,Hodges,Bethany,f,Pathfinders,7,7,9,2025-07-18 19:20:00
978-1-214-77200-6,Burns,Donna,f,Rangers,10,9,7,2025-07-12 16:40:00
978-0-524-23163-0,Erickson,Kimberly,f,Outlanders,7,7,7,2025-06-04 02:00:00
978-0-19-083727-3,Scott,James,m,Pathfinders,10,11,8,2025-06-11 04:20:00
978-0-00-804434-3,Roman,Molly,f,Outlanders,11,9,9,2025-06-29 07:20:00
978-1-83122-995-2,Campbell,Daniel,m,Pathfinders,10,8,6,2025-07-21 13:20:00
978-1-9753-8897-3,Gonzales,Rachel,f,Pathfinders,7,9,11,2025-06-23 14:20:00
978-1-55061-063-5,Bowman,Amy,f,Pathfinders,11,9,12,2025-07-29 20:40:00
978-0-553-20941-9,Hill,Tiffany,f,Pathfinders,11,9,10,2025-08-05 07:40:00
978-1-888707-19-9,Peterson,Kayla,f,Rangers,10,10,9,2025-06-29 01:00:00
978-0-8100-0806-9,Chase,Vanessa,f,Outlanders,9,10,10,2025-06-03 17:00:00
978-1-59076-730-6,Ramos,Joseph,m,Rangers,8,8,12,2025-06-27 10:00:00
978-0-248-98587-1,Pierce,Kristy,f,Pathfinders,7,9,7,2025-06-19 23:40:00
978-0-520-58164-7,Robinson,Maria,f,Rangers,10,7,6,2025-07-30 08:20:00
978-1-280-27555-5,Munoz,Kara,f,Pathfinders,11,8,6,2025-08-09 23:20:00
978-0-687-85883-5,Garrett,Nathan,m,Outlanders,6,10,6,2025-07-18 18:00:00
978-1-57290-971-7,Thompson,Rickey,m,Pathfinders,9,9,12,2025-07-23 00:20:00
978-1-68503-184-8,Harrison,Karen,f,Pathfinders,7,8,10,2025-07-16 19:00:00
978-1-75612-114-0,Erickson,Kenneth,m,Outlanders,9,12,8,2025-08-04 20:40:00
978-1-61952-432-3,Stephens,Robert,m,Rangers,7,10,9,2025-07-14 18:20:00
978-1-64605-270-7,Berry,Karen,f,Rangers,9,7,7,2025-08-08 07:00:00
978-0-654-02985-5,Green,Anthony,m,Rangers,7,7,8,2025-07-09 13:20:00
978-1-902864-59-4,Palmer,Cynthia,f,Rangers,10,7,6,2025-07-01 12:40:00
978-1-351-50663-2,Adams,David,m,Pathfinders,11,8,7,2025-06-22 22:40:00
978-0-433-76834-0,Wilson,Kevin,m,Outlanders,8,9,7,2025-06-11 03:00:00
978-1-86063-979-1,Santiago,Michelle,f,Outlanders,7,8,8,2025-06-03 14:20:00
978-1-359-17452-9,Mcgrath,Sherry,f,Pathfinders,8,9,7,2025-08-14 14:20:00
978-1-4676-4786-1,Le,Jean,f,Outlanders,8,7,10,2025-06-15 01:00:00
978-1-4155-8415-6,Mcgrath,Jeremiah,m,Pathfinders,9,9,6,2025-08-23 15:40:00
978-1-942850-18-2,Beltran,Stephanie,f,Outlanders,9,9,6,2025-07-18 05:00:00
978-1-922966-39-1,Clark,Marc,m,Outlanders,10,9,11,2025-08-21 15:20:00
978-0-692-59575-6,Reyes,Julie,f,Pathfinders,7,12,8,2025-07-16 14:00:00
978-0-89895-960-4,Edwards,Lisa,f,Rangers,7,10,10,2025-06-16 18:20:00
978-1-63048-850-5,Pruitt,Cody,m,Pathfinders,8,10,10,2025-08-20 17:40:00
978-1-55200-469-2,Saunders,Michele,f,Pathfinders,10,10,9,2025-08-12 09:20:00
978-0-699-40659-8,Larson,Amber,f,Pathfinders,11,8,7,2025-08-02 23:00:00
978-0-486-95322-9,Russell,Xavier,m,Rangers,8,12,11,2025-07-27 11:40:00
