id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-78258-165-9,Lynch,Marcus,m,Hawks,12,12,8,2025-08-05 08:20:00
978-1-67227-525-5,Gomez,Zachary,m,Comets,10,12,7,2025-07-04 08:00:00
978-1-73047-213-8,Morrison,Jonathan,m,Hawks,6,6,7,2025-07-12 06:40:00
978-1-5028-8306-3,Blanchard,Ruth,f,Stars,12,9,9,2025-06-17 11:00:00
978-1-86328-801-9,Thornton,Aaron,m,Stars,7,7,12,2025-08-03 10:40:00
978-1-899787-63-0,Cochran,Dale,m,Stars,7,9,8,2025-06-02 03:20:00
978-0-514-75581-8,Cummings,Maxwell,m,Comets,9,9,6,2025-06-02 08:00:00
978-1-62302-347-8,Carlson,Brianna,f,Stars,11,9,12,2025-08-13 22:20:00
978-1-4038-6634-9,Booth,Benjamin,m,Stars,10,9,12,2025-06-06 00:20:00
978-0-535-56316-4,Carter,Daniel,m,Comets,6,10,7,2025-07-10 06:20:00
978-0-7555-1050-4,Cunningham,William,m,Hawks,9,12,8,2025-06-05 09:40:00
978-0-12-065974-6,Meyer,Kenneth,m,Hawks,6,12,9,2025-07-13 18:40:00
978-1-62528-180-7,Stanley,Patrick,m,Stars,6,10,9,2025-07-19 20:20:00
978-0-01-157556-8,Weaver,William,m,Stars,9,10,9,2025-06-15 21:20:00
978-0-9884294-7-5,Edwards,Bryan,m,Stars,9,7,9,2025-08-28 14:40:00
978-1-79519-600-0,Erickson,Jorge,m,Stars,10,10,9,2025-07-29 17:00:00
978-0-9928608-9-9,James,Christopher,m,Comets,12,10,8,2025-07-26 06:00:00
978-1-68730-159-8,Vega,James,m,Comets,7,12,7,2025-08-18 23:20:00
978-0-321-92944-0,Brooks,Warren,m,Stars,8,9,12,2025-06-10 20:00:00
978-1-60025-136-8,Schmidt,Erica,f,Comets,8,9,8,2025-06-20 18:20:00
978-0-245-28746-6,Hines,Cesar,m,Comets,10,7,10,2025-07-28 09:40:00
978-1-4008-0019-3,Willis,Julian,m,Comets,11,7,9,2025-08-12 06:40:00
978-1-155-32496-8,Lee,Benjamin,m,Hawks,9,12,10,2025-08-29 16:20:00
978-0-492-53214-2,Bradley,Pamela,f,Hawks,7,8,6,2025-08-24 08:40:00
978-1-84834-593-5,Padilla,Lori,f,Comets,11,7,10,2025-08-20 11:20:00
978-1-5247-1338-6,Salinas,Molly,f,Hawks,10,8,10,2025-06-04 17:20:00
978-1-288-01024-0,Carter,Ronald,m,Stars,11,12,7,2025-06-11 21:00:00
978-1-910403-76-1,Russo,Tara,f,Hawks,7,11,10,2025-08-20 04:00:00
978-1-76505-464-4,Thompson,Earl,m,Hawks,6,11,10,2025-07-30 03:00:00
978-0-219-49158-5,Bennett,Jason,m,Stars,8,10,11,2025-06-18 15:20:00
978-0-85425-876-5,Garcia,Justin,m,Hawks,6,8,7,2025-08-28 21:20:00
978-0-637-80238-3,Thomas,Rebecca,f,Comets,6,6,8,2025-08-16 15:20:00
978-1-5235-7205-2,Porter,Casey,m,Hawks,7,9,9,2025-08-23 20:00:00
978-1-284-95233-9,Rodriguez,Valerie,f,Stars,7,10,8,2025-08-13 17:40:00
978-0-469-32633-0,Carter,Joshua,m,Stars,6,10,9,2025-06-25 00:20:00
978-0-317-18239-2,Nelson,Teresa,f,Comets,10,12,12,2025-07-04 06:20:00
978-1-144-81708-2,Barber,Eddie,m,Comets,8,12,9,2025-06-16 00:40:00
978-1-931347-52-5,Romero,Kimberly,f,Comets,9,10,7,2025-07-24 20:40:00
978-0-86583-289-3,Berry,Michael,m,Comets,9,10,9,2025-08-18 07:20:00
978-0-618-38032-9,Mayer,Tammy,f,Comets,8,8,8,2025-06-20 15:20:00
978-1-00-938158-1,Maxwell,Kyle,m,Comets,9,9,7,2025-08-19 21:00:00
978-1-86335-718-0,Orr,William,m,Comets,7,7,11,2025-08-28 01:20:00
978-1-107-53894-8,Contreras,Ann,f,Stars,7,8,7,2025-07-04 22:40:00
978-1-76234-041-2,Johnson,Carol,f,Comets,9,12,9,2025-07-20 02:20:00
978-0-9653620-8-5,Brown,Timothy,m,Hawks,8,12,9,2025-06-26 19:40:00
978-0-282-47809-4,Holland,Ana,f,Comets,7,6,9,2025-07-07 23:20:00
978-1-02-003962-1,Reyes,Timothy,m,Stars,6,8,7,2025-07-02 07:20:00
978-0-624-71284-8,Mcmillan,Raymond,m,Hawks,9,9,6,2025-06-05 22:40:00
978-0-14-014548-9,Jordan,Ralph,m,Comets,10,7,12,2025-06-09 02:20:00
978-1-70074-559-0,Duncan,Daniel,m,Comets,8,9,9,2025-07-10 10:40:00
