id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-601-49816-1,Santiago,Ethan,m,Adventurers,9,10,8,2025-07-28 17:00:00
978-1-67065-661-2,Sullivan,Misty,f,Adventurers,8,7,12,2025-06-28 23:00:00
978-0-8342-1967-0,Schwartz,Lee,m,Adventurers,9,12,6,2025-08-06 08:00:00
978-1-62703-722-8,Wilcox,Rodney,m,Meteors,7,12,11,2025-07-25 13:40:00
978-0-00-256902-6,Medina,Christina,f,Adventurers,7,8,8,2025-06-06 15:40:00
978-0-12-555699-6,Rasmussen,Erin,f,Adventurers,12,8,10,2025-08-21 15:20:00
978-0-948224-43-0,Herring,Caitlin,f,Pathfinders,6,6,12,2025-07-01 01:40:00
978-0-04-697073-4,Chapman,Kevin,m,Pathfinders,9,9,7,2025-07-20 16:40:00
978-1-138-24082-7,Fox,Barbara,f,Pathfinders,11,10,9,2025-08-06 08:20:00
978-1-66758-641-0,Friedman,Kevin,m,Meteors,9,10,9,2025-08-15 09:20:00
978-0-9826924-2-4,Johnson,Christina,f,Meteors,7,10,8,2025-06-29 10:20:00
978-0-08-668806-4,Stanley,Stacey,f,Pathfinders,8,9,7,2025-06-28 08:40:00
978-1-06-946130-8,Garcia,Vicki,f,Meteors,7,9,11,2025-06-17 11:20:00
978-1-02-749234-4,Owen,Leslie,m,Pathfinders,10,7,8,2025-06-03 19:20:00
978-0-520-51138-5,Hodges,Derrick,m,Adventurers,11,7,12,2025-06-01 10:40:00
978-0-938808-80-0,Bailey,Jacob,m,Pathfinders,9,8,8,2025-08-28 00:40:00
978-0-384-22261-8,Hutchinson,Kelly,f,Adventurers,11,12,9,2025-06-25 15:20:00
978-0-11-340303-5,Braun,Ashley,f,Meteors,8,11,8,2025-06-07 16:00:00
978-1-4303-8022-1,Anderson,David,m,Adventurers,9,12,11,2025-07-21 02:00:00
978-1-261-96113-2,Reeves,Kimberly,f,Adventurers,8,10,12,2025-08-24 18:20:00
978-1-112-47424-8,Martin,Adam,m,Pathfinders,9,9,10,2025-07-08 22:20:00
978-0-14-331664-0,Holmes,Julie,f,Pathfinders,10,8,9,2025-08-05 05:40:00
978-0-07-542027-9,Newman,Sarah,f,Pathfinders,10,10,12,2025-08-21 21:20:00
978-0-467-50217-0,Walker,Stephanie,f,Adventurers,8,10,7,2025-08-07 14:00:00
978-0-350-13730-4,Sanchez,William,m,Meteors,10,9,8,2025-08-01 13:40:00
978-1-63587-440-2,Anderson,Christina,f,Adventurers,10,12,12,2025-08-14 19:40:00
978-1-964747-41-5,Daugherty,Shelia,f,Adventurers,9,7,9,2025-07-11 17:00:00
978-0-9861546-5-2,Montgomery,Meagan,f,Pathfinders,9,12,6,2025-08-14 20:20:00
978-0-9586558-0-4,Roy,Joy,f,Pathfinders,8,6,8,2025-06-16 12:00:00
978-1-365-83331-1,Mendez,Stephanie,f,Meteors,7,6,9,2025-06-06 07:40:00
978-0-17-382816-8,Hicks,Adrian,m,Pathfinders,9,10,9,2025-08-25 13:20:00
978-0-87114-439-3,Wong,Vincent,m,Pathfinders,10,10,7,2025-07-30 05:20:00
978-0-486-25186-8,Burns,Victoria,f,Meteors,9,8,9,2025-07-21 17:20:00
978-0-595-63868-0,Wells,Kristen,f,Pathfinders,9,9,12,2025-08-09 14:00:00
978-1-58454-818-8,Mitchell,Paul,m,Meteors,11,9,7,2025-08-10 05:00:00
978-1-55180-205-3,Baird,Beth,f,Meteors,8,10,10,2025-07-07 09:40:00
978-0-7069-0927-2,Mahoney,Patrick,m,Adventurers,10,8,10,2025-06-24 10:20:00
978-1-888391-10-7,Nguyen,Lindsay,f,Pathfinders,11,10,12,2025-08-29 18:20:00
978-1-67700-597-0,Lopez,Michelle,f,Adventurers,6,9,9,2025-07-19 01:00:00
978-1-82371-968-3,Garcia,Christina,f,Pathfinders,7,9,9,2025-06-17 06:00:00
978-1-5322-3152-0,Castro,Joyce,f,Pathfinders,7,10,12,2025-06-05 20:00:00
978-1-308-32685-6,Thomas,Brenda,f,Adventurers,10,9,6,2025-06-26 07:00:00
978-0-401-38259-2,Goodwin,Whitney,f,Adventurers,7,9,11,2025-06-06 06:20:00
978-1-969887-41-3,Welch,Sarah,f,Meteors,11,7,10,2025-08-07 02:20:00
978-0-11-068862-6,Dalton,Jordan,f,Meteors,6,12,8,2025-06-23 15:40:00
978-0-462-49934-5,Guerrero,Megan,f,Meteors,9,8,12,2025-07-10 03:00:00
978-0-399-19554-9,Patel,Samuel,m,Pathfinders,8,9,7,2025-07-09 00:00:00
978-0-624-35246-4,Hill,Lisa,f,Pathfinders,11,7,7,2025-06-20 01:00:00
978-1-72736-797-3,Holmes,Andrea,f,Adventurers,10,12,9,2025-06-04 22:00:00
978-0-373-32999-1,Holt,Christina,f,Adventurers,12,11,7,2025-06-28 17:40:00
