id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-05-491139-9,Gilmore,Robert,m,Wolves,9,10,8,2025-06-11 20:40:00
978-0-19-857007-3,Jordan,Cynthia,f,Comets,8,12,7,2025-06-22 10:20:00
978-0-14-508854-5,Palmer,Brooke,f,Hawks,9,6,11,2025-06-10 21:20:00
978-0-03-693592-7,Collier,David,m,Comets,9,9,9,2025-07-07 15:00:00
978-0-557-46810-2,Huang,Victoria,f,Hawks,11,6,10,2025-06-07 04:40:00
978-0-519-79740-0,Jenkins,Tracy,f,Comets,10,10,9,2025-08-13 19:40:00
978-1-85479-035-4,Thomas,Cynthia,f,Comets,11,9,10,2025-08-03 10:20:00
978-1-181-12187-6,Mckay,Shannon,f,Comets,6,9,6,2025-06-26 14:40:00
978-0-530-70439-5,Jackson,Jill,f,Hawks,9,12,8,2025-06-27 12:20:00
978-1-943196-85-2,Vega,Mario,m,Wolves,8,10,10,2025-08-20 11:20:00
978-0-566-54764-5,Jordan,Steven,m,Hawks,8,7,6,2025-07-25 17:00:00
978-1-248-30908-7,Atkins,Vincent,m,Wolves,11,9,6,2025-06-08 02:20:00
978-0-596-13397-9,Ryan,Amanda,f,Hawks,10,9,11,2025-07-11 01:40:00
978-1-399-71892-9,Russell,Mia,f,Hawks,10,9,9,2025-07-24 06:20:00
978-0-7904-8208-8,Hess,Megan,f,Wolves,7,9,12,2025-06-18 03:20:00
978-1-5049-8397-6,Jones,Karen,f,Wolves,9,6,11,2025-07-21 21:00:00
978-1-00-680141-9,Navarro,Michael,m,Comets,12,6,9,2025-08-23 12:40:00
978-0-07-450563-2,Hanson,Derek,m,Hawks,9,8,9,2025-08-12 19:40:00
978-0-9680265-1-9,Harris,Edward,m,Hawks,11,8,10,2025-06-29 17:00:00
978-0-618-62425-6,Hoover,Holly,f,Hawks,9,9,10,2025-08-30 03:40:00
978-1-84370-865-0,Barnes,Erika,f,Hawks,6,9,6,2025-06-15 23:40:00
978-0-310-75088-8,Baxter,Connor,m,Hawks,6,9,6,2025-06-05 09:00:00
978-0-01-989611-5,Sanchez,Evelyn,f,Comets,6,8,7,2025-06-24 20:00:00
978-0-7813-9521-2,White,Matthew,m,Hawks,9,9,6,2025-07-04 17:40:00
978-1-4824-6745-1,Moreno,Courtney,f,Comets,10,9,9,2025-06-23 20:40:00
978-1-63345-823-9,Sanchez,Melissa,f,Wolves,10,12,8,2025-06-25 19:40:00
978-1-77604-986-8,Wang,Emily,f,Wolves,9,11,8,2025-07-12 15:00:00
978-1-63177-064-7,Horn,Ashley,f,Comets,7,10,9,2025-08-16 11:40:00
978-1-904557-65-4,Knight,Wendy,f,Hawks,8,7,6,2025-06-13 18:40:00
978-0-19-911095-7,Mendez,Stephanie,f,Comets,6,6,8,2025-08-12 02:40:00
978-1-60490-846-6,Campbell,Michaela,f,Comets,9,9,10,2025-07-01 04:00:00
978-0-11-649712-3,Thompson,Tamara,f,Wolves,10,10,8,2025-07-09 01:00:00
978-0-931201-69-1,Hill,Daniel,m,Wolves,10,9,9,2025-07-05 23:20:00
978-0-7875-2005-2,Dorsey,Erin,f,Comets,9,6,7,2025-08-30 17:20:00
978-1-76303-296-5,Thomas,Catherine,f,Wolves,10,8,12,2025-07-27 02:00:00
978-0-913527-89-4,Gilmore,John,m,Wolves,7,7,8,2025-07-17 20:20:00
978-0-575-70339-1,Kirby,Laura,f,Comets,8,8,9,2025-07-27 21:40:00
978-0-04-856103-9,Dudley,Cassandra,f,Comets,7,12,8,2025-06-03 11:20:00
978-1-07-909321-6,Brown,Alejandro,m,Hawks,7,8,11,2025-06-07 07:20:00
978-1-85849-061-8,Jones,Emily,f,Wolves,12,9,9,2025-07-09 09:20:00
978-1-01-086222-2,Torres,Kyle,m,Comets,9,11,7,2025-07-01 22:00:00
978-1-210-99726-7,Ortega,Anthony,m,Wolves,12,7,9,2025-08-04 16:00:00
978-1-71442-358-3,Cherry,Monica,f,Wolves,8,9,8,2025-08-30 19:40:00
978-0-7928-0678-3,Caldwell,John,m,Wolves,9,11,8,2025-06-27 06:00:00
978-0-655-25197-2,Harris,Linda,f,Comets,9,7,7,2025-07-25 10:40:00
978-0-01-650393-1,Green,Isaac,m,Comets,9,7,8,2025-08-05 09:00:00
978-0-435-14782-2,Kaiser,Amy,f,Hawks,8,8,8,2025-07-16 11:00:00
978-1-365-45658-9,Andersen,Renee,f,Comets,10,12,10,2025-08-13 22:40:00
978-0-7853-6411-5,Griffin,Sandra,f,Hawks,7,9,11,2025-07-21 18:40:00
978-1-300-03598-5,Beltran,Victoria,f,Wolves,9,7,9,2025-08-22 10:40:00
