id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-402-73993-7,Fisher,Katherine,f,Explorers,9,12,8,2025-08-04 06:40:00
978-1-378-70337-3,Hughes,Traci,f,Comets,9,6,7,2025-08-04 08:00:00
978-0-09-027809-1,Williams,Carla,f,Beavers,11,10,11,2025-07-27 01:40:00
978-1-78893-702-3,Miller,Kelly,f,Comets,9,10,10,2025-08-11 21:40:00
978-1-85480-957-5,Garcia,Katherine,f,Comets,7,9,10,2025-07-31 17:00:00
978-1-243-62730-8,Tapia,Wesley,m,Comets,7,9,10,2025-06-02 23:40:00
978-1-906513-20-7,Mcdonald,Caleb,m,Comets,10,7,9,2025-06-22 15:00:00
978-1-4256-2685-3,Carpenter,Virginia,f,Explorers,11,10,10,2025-07-31 10:20:00
978-0-403-53920-8,Smith,Michael,m,Explorers,10,8,8,2025-08-21 06:00:00
978-1-4899-9334-2,Graham,Rebekah,f,Comets,9,9,7,2025-08-09 19:20:00
978-0-420-47481-0,Bradley,Jason,m,Beavers,6,12,9,2025-07-05 04:20:00
978-1-923499-67-6,Sanders,Stephanie,f,Explorers,10,10,10,2025-08-25 02:20:00
978-1-09-735340-8,Best,Ashley,f,Explorers,7,10,7,2025-07-17 14:00:00
978-1-4078-3580-8,Duncan,Erin,f,Explorers,11,8,9,2025-08-20 09:00:00
978-1-309-05247-1,Jones,Clayton,m,Explorers,8,8,8,2025-06-06 07:40:00
978-1-875406-56-2,Wilson,Julia,f,Explorers,10,6,9,2025-08-11 12:00:00
978-1-01-912894-7,Johnson,Chad,m,Comets,9,9,7,2025-06-03 00:40:00
978-1-4126-6943-6,Ramirez,Jacob,m,Comets,9,7,8,2025-08-09 00:20:00
978-1-5372-2088-8,Williams,Jesse,m,Explorers,9,9,10,2025-06-04 04:20:00
978-0-9516178-9-2,Zavala,Brian,m,Beavers,6,8,9,2025-06-03 13:00:00
978-0-8021-4374-7,Patrick,Paige,f,Explorers,9,9,8,2025-08-08 09:00:00
978-1-231-54351-1,Davis,Ryan,m,Beavers,11,7,11,2025-08-19 03:20:00
978-0-7358-6263-0,Jones,Teresa,f,Comets,10,9,9,2025-07-16 13:20:00
978-1-62232-205-3,Dunn,Cassie,f,Explorers,6,10,6,2025-08-15 02:00:00
978-0-904227-04-8,Jones,Toni,f,Beavers,10,9,10,2025-07-14 20:20:00
978-0-614-33869-0,Garcia,Jenna,f,Explorers,10,9,6,2025-07-13 12:40:00
978-1-204-45815-6,Vasquez,Keith,m,Explorers,9,10,12,2025-07-17 03:20:00
978-0-88748-020-1,Smith,Michael,m,Beavers,8,9,6,2025-08-15 21:40:00
978-1-348-17212-3,Morton,Michele,f,Beavers,8,7,7,2025-06-17 07:00:00
978-0-9674340-9-4,Cox,Jeffrey,m,Beavers,6,10,8,2025-06-10 08:40:00
978-0-363-90643-0,Phelps,Ashley,f,Explorers,12,9,12,2025-08-05 07:40:00
978-1-260-18996-4,Hughes,Sarah,f,Explorers,9,10,7,2025-06-08 09:40:00
978-0-567-03675-9,Collins,Craig,m,Beavers,12,9,10,2025-07-05 13:40:00
978-0-9862093-2-1,Smith,Scott,m,Explorers,10,8,8,2025-08-19 23:00:00
978-0-7228-5883-7,Brown,Cole,m,Comets,6,6,6,2025-06-18 14:20:00
978-0-534-48367-8,Wheeler,Craig,m,Beavers,9,9,8,2025-08-22 15:00:00
978-1-952479-51-9,Holt,Rachel,f,Explorers,9,8,10,2025-08-01 04:40:00
978-1-935250-34-0,Page,Eric,m,Comets,8,10,7,2025-06-15 13:40:00
978-0-14-932528-8,Mayo,Stephanie,f,Explorers,12,12,6,2025-08-21 02:00:00
978-0-647-87629-9,Prince,Ernest,m,Beavers,9,11,9,2025-06-12 10:00:00
978-0-7902-7477-5,Turner,Jared,m,Explorers,12,9,10,2025-08-26 22:00:00
978-1-69132-199-5,Price,Thomas,m,Beavers,12,11,11,2025-08-28 19:00:00
978-1-4485-3140-0,Smith,Patricia,f,Beavers,7,6,8,2025-08-07 20:00:00
978-1-74003-770-9,Benjamin,Sue,f,Beavers,7,7,10,2025-06-24 22:00:00
978-1-193-88541-4,Lee,Christopher,m,Comets,12,10,9,2025-07-19 17:40:00
978-0-317-54883-9,Wheeler,Lisa,f,Explorers,7,9,8,2025-07-18 07:00:00
978-1-72199-053-5,Hess,April,f,Explorers,10,9,9,2025-07-27 12:00:00
978-0-7417-7529-0,Perry,Rachel,f,Comets,6,11,7,2025-08-02 14:40:00
978-1-387-05584-5,Mckenzie,Thomas,m,Beavers,8,7,9,2025-06-26 15:20:00
978-1-891678-78-3,Haas,John,m,Comets,8,9,9,2025-06-18 01:20:00
