id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-618-43660-6,Rodriguez,Brandon,m,Trailblazers,12,8,6,2025-08-12 02:40:00
978-0-04-545534-8,Hart,Kathleen,f,Otters,7,8,10,2025-07-07 05:40:00
978-0-573-03984-3,Lucero,Denise,f,Beavers,8,11,10,2025-06-07 03:00:00
978-1-56969-522-7,Edwards,Melissa,f,Trailblazers,8,11,8,2025-07-25 13:40:00
978-1-934268-37-7,Jones,Daniel,m,Beavers,9,12,12,2025-06-09 15:00:00
978-0-7041-0669-7,Nguyen,Alexander,m,Otters,9,7,9,2025-06-16 09:40:00
978-0-7864-7035-8,Holden,Alexis,f,Trailblazers,12,9,6,2025-06-22 09:40:00
978-1-963520-93-4,Barnes,Jasmine,f,Trailblazers,10,10,9,2025-07-24 09:40:00
978-0-226-46212-7,Parker,Amanda,f,Otters,7,9,7,2025-06-16 10:00:00
978-1-5462-8878-7,Ramirez,Jessica,f,Beavers,6,12,6,2025-06-12 04:40:00
978-0-9619454-2-8,Hughes,Maxwell,m,Beavers,8,12,7,2025-06-10 02:40:00
978-1-60245-323-4,Graves,Laurie,f,Beavers,8,8,9,2025-06-26 17:00:00
978-1-205-64844-0,Friedman,Michael,m,Beavers,11,7,7,2025-08-03 02:20:00
978-1-80897-445-8,Gonzales,Dennis,m,Otters,11,8,9,2025-06-30 23:40:00
978-1-388-87235-9,Smith,Stephanie,f,Otters,7,11,9,2025-06-30 08:20:00
978-0-413-98719-8,James,Taylor,f,Beavers,10,7,12,2025-08-11 16:40:00
978-0-924274-11-4,Holland,Patricia,f,Trailblazers,8,10,12,2025-06-15 05:00:00
978-1-4838-9169-9,Byrd,Steven,m,Trailblazers,9,10,6,2025-08-13 19:20:00
978-1-5246-4157-3,Curry,Andrew,m,Beavers,8,9,8,2025-07-21 16:20:00
978-0-12-141794-9,Avila,Samantha,f,Beavers,6,8,12,2025-08-02 04:00:00
978-0-7210-7139-8,Serrano,Marissa,f,Otters,7,9,9,2025-08-28 08:40:00
978-0-16-188389-6,Flores,Suzanne,f,Otters,8,9,8,2025-08-16 12:20:00
978-1-65118-476-9,Young,Matthew,m,Otters,7,9,7,2025-06-30 18:20:00
978-1-4575-1104-2,Adams,Mark,m,Otters,12,9,7,2025-08-10 08:00:00
978-0-255-65989-5,Graves,Dawn,f,Otters,9,11,10,2025-08-11 05:00:00
978-0-429-56934-0,Griffin,Duane,m,Trailblazers,10,9,11,2025-06-03 21:20:00
978-1-995069-33-3,Thomas,Kayla,f,Beavers,9,8,10,2025-07-22 05:40:00
978-0-381-68140-1,Silva,Bonnie,f,Otters,6,9,8,2025-08-16 18:00:00
978-0-9930385-9-4,Harmon,Seth,m,Beavers,12,8,9,2025-07-01 08:00:00
978-0-608-07477-1,Oneal,Michelle,f,Beavers,8,10,9,2025-06-01 19:20:00
978-1-969614-47-7,Hopkins,Juan,m,Beavers,10,10,10,2025-08-06 02:20:00
978-1-921319-60-0,Graves,William,m,Beavers,10,9,8,2025-08-14 01:20:00
978-1-80539-613-0,Ali,Lawrence,m,Trailblazers,10,8,8,2025-06-21 04:00:00
978-1-4144-0299-4,Campbell,Zachary,m,Beavers,9,10,11,2025-08-09 12:40:00
978-1-374-35450-0,Mueller,Michael,m,Beavers,8,9,12,2025-06-05 06:00:00
978-1-390-02128-8,Jackson,Katie,f,Otters,11,9,9,2025-06-11 06:40:00
978-1-56465-389-5,Bell,Jordan,f,Otters,10,11,8,2025-06-05 23:20:00
978-1-79733-677-0,Bradley,Christina,f,Otters,8,6,9,2025-07-09 17:40:00
978-1-239-25254-5,Kelly,Eric,m,Beavers,9,10,10,2025-06-28 19:40:00
978-1-300-71559-7,Oneill,Katie,f,Otters,8,9,6,2025-08-19 06:20:00
978-1-66644-109-3,Christensen,Kristen,f,Beavers,12,10,9,2025-08-21 22:40:00
978-0-06-699437-6,Huff,Kristina,f,Trailblazers,10,6,7,2025-07-29 00:00:00
978-1-61259-632-7,Berg,Carol,f,Trailblazers,7,10,10,2025-07-28 13:20:00
978-0-358-64113-1,Rivera,Kimberly,f,Trailblazers,9,9,12,2025-06-20 21:40:00
978-1-375-40792-2,Fowler,Cynthia,f,Trailblazers,10,10,8,2025-08-16 15:40:00
978-0-15-446554-2,Bennett,Randy,m,Otters,8,7,9,2025-06-03 20:20:00
978-0-543-85213-7,Camacho,Brian,m,Beavers,10,9,9,2025-06-22 09:20:00
978-1-138-88406-9,Ruiz,Colton,m,Trailblazers,12,7,9,2025-06-18 15:20:00
978-1-940647-38-8,Phillips,Kathy,f,Trailblazers,6,9,9,2025-06-02 01:00:00
978-1-9833-4861-7,Robinson,Sarah,f,Beavers,9,9,11,2025-07-15 02:20:00
