id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-5419-5193-8,Moreno,John,m,Eagles,9,11,12,2025-06-18 08:00:00
978-0-18-720361-6,Lewis,Michael,m,Explorers,7,9,12,2025-08-13 10:20:00
978-0-8055-3975-2,Bradford,Lauren,f,Explorers,10,10,8,2025-06-12 02:20:00
978-0-10-201499-0,Erickson,Leslie,f,Eagles,12,6,12,2025-07-26 07:20:00
978-1-02-192325-7,Mcdaniel,Vicki,f,Explorers,8,8,8,2025-07-16 17:00:00
978-1-5159-5343-2,Weiss,Karen,f,Hawks,6,9,9,2025-07-12 17:00:00
978-0-9951055-4-6,Edwards,Ana,f,Explorers,12,12,8,2025-08-19 06:00:00
978-0-11-330458-5,Harrington,Samantha,f,Explorers,9,12,10,2025-06-21 04:20:00
978-0-924200-18-2,Hardy,Jamie,f,Hawks,8,9,8,2025-07-14 23:20:00
978-0-04-346884-5,Clark,Michele,f,Hawks,7,10,9,2025-07-22 19:00:00
978-1-01-152755-7,Lowe,Lindsey,f,Explorers,9,11,6,2025-07-12 00:20:00
978-1-55223-386-3,Perez,Phillip,m,Explorers,7,6,7,2025-07-17 03:20:00
978-0-86686-457-2,Cox,Kimberly,f,Eagles,12,10,12,2025-08-18 18:20:00
978-0-489-93830-8,Brown,Debra,f,Hawks,8,10,10,2025-06-29 03:20:00
978-1-331-84095-4,Freeman,Shannon,f,Explorers,9,12,9,2025-06-13 22:20:00
978-1-77953-585-6,Mercado,Kelsey,f,Explorers,10,10,8,2025-07-10 08:20:00
978-0-268-04483-1,Mcconnell,Veronica,f,Explorers,12,7,6,2025-08-15 03:00:00
978-1-155-50604-3,Valencia,Kimberly,f,Hawks,9,12,6,2025-06-11 04:00:00
978-0-88626-546-5,Woods,Theresa,f,Explorers,8,12,11,2025-08-27 18:00:00
978-1-58098-517-8,Clark,Patricia,f,Eagles,12,6,11,2025-07-28 19:00:00
978-1-66943-440-5,Nelson,Michelle,f,Eagles,8,10,11,2025-08-17 15:00:00
978-0-554-46422-0,Sheppard,Brenda,f,Explorers,8,7,6,2025-07-01 14:00:00
978-0-378-07450-6,Quinn,Jimmy,m,Eagles,12,8,8,2025-07-04 17:00:00
978-1-368-10403-6,Mitchell,Michael,m,Eagles,12,12,8,2025-06-04 09:20:00
978-1-01-481151-6,Clark,Ashley,f,Hawks,8,6,12,2025-08-26 18:00:00
978-1-160-59520-9,Yates,Allison,f,Explorers,7,7,10,2025-07-19 09:20:00
978-1-374-75841-4,Terrell,Elizabeth,f,Eagles,11,9,7,2025-08-18 18:40:00
978-1-05-907377-1,Peters,Melissa,f,Explorers,8,11,11,2025-08-20 18:20:00
978-1-05-796188-9,Garcia,Marcus,m,Eagles,8,7,10,2025-08-09 11:40:00
978-0-19-624093-0,Reyes,Rodney,m,Explorers,9,7,9,2025-07-29 23:40:00
978-1-08-874821-3,Miller,Leah,f,Explorers,11,10,7,2025-07-09 05:00:00
978-1-119-84291-0,Caldwell,Scott,m,Eagles,9,12,11,2025-07-17 08:40:00
978-0-423-19656-6,Ruiz,Tammy,f,Eagles,12,10,8,2025-08-03 21:40:00
978-1-82213-571-2,Duarte,Molly,f,Eagles,9,7,9,2025-07-04 16:40:00
978-0-7119-5338-3,Hodge,Patty,f,Eagles,7,12,7,2025-07-14 00:40:00
978-0-650-04143-1,Smith,Randy,m,Explorers,8,8,10,2025-08-21 04:00:00
978-1-5315-1619-2,Garcia,Thomas,m,Explorers,11,7,7,2025-06-04 07:40:00
978-1-149-83035-2,Walsh,Laura,f,Explorers,10,8,9,2025-06-09 08:20:00
978-0-908773-67-1,Davis,Douglas,m,Hawks,8,11,10,2025-07-27 17:40:00
978-1-4880-7700-5,White,Leslie,f,Eagles,8,11,10,2025-06-29 03:20:00
978-1-5117-9786-3,Sanders,Anthony,m,Hawks,12,8,9,2025-06-12 23:00:00
978-1-386-41327-1,Anderson,Brittany,f,Explorers,9,7,7,2025-08-06 21:40:00
978-0-548-50825-1,Cooper,Sandra,f,Hawks,12,9,12,2025-06-05 20:20:00
978-0-674-48792-5,Green,Tiffany,f,Hawks,9,8,8,2025-08-29 21:40:00
978-0-658-89120-5,Drake,Kyle,m,Eagles,7,8,9,2025-06-11 08:00:00
978-0-409-73936-7,Crawford,Lisa,f,Explorers,7,7,10,2025-07-30 00:40:00
978-1-08-154467-6,Steele,Tiffany,f,Eagles,6,8,9,2025-08-22 09:00:00
978-1-9741-1015-5,Powell,Leslie,f,Hawks,10,9,8,2025-07-20 01:20:00
978-0-9666557-2-8,Munoz,Charlene,f,Eagles,7,9,8,2025-06-25 22:40:00
978-0-7610-9275-9,Bartlett,Samantha,f,Explorers,10,7,8,2025-06-28 08:20:00
