id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-998530-15-1,Fox,Elizabeth,f,Comets,7,9,10,2025-06-06 04:00:00
978-1-268-20034-0,Knight,Travis,m,Comets,7,8,10,2025-08-20 15:40:00
978-1-80532-451-5,Myers,Sarah,f,Rangers,9,8,7,2025-08-20 14:40:00
978-1-181-43238-5,Maldonado,Courtney,f,Rangers,12,6,7,2025-06-29 22:20:00
978-0-03-924328-9,Rodriguez,Marvin,m,Rangers,6,8,9,2025-07-08 22:40:00
978-1-82775-876-3,Robinson,Cynthia,f,Comets,6,8,8,2025-08-27 21:20:00
978-1-76688-642-8,Christian,Joseph,m,Wolves,9,7,9,2025-06-22 12:20:00
978-1-69211-342-1,Jackson,Derrick,m,Rangers,6,12,9,2025-08-13 12:40:00
978-0-650-65896-7,Smith,Amanda,f,Comets,7,9,10,2025-06-27 11:00:00
978-1-5285-8129-5,Miller,Philip,m,Wolves,8,9,10,2025-07-23 05:40:00
978-0-550-93503-8,Johnson,Donald,m,Comets,9,10,9,2025-07-05 14:20:00
978-0-231-87613-1,Thompson,Darryl,m,Rangers,7,11,6,2025-07-29 03:40:00
978-1-229-14055-5,Anderson,Nathaniel,m,Comets,8,11,8,2025-08-16 10:20:00
978-0-12-924492-9,Carr,Jody,f,Wolves,8,10,7,2025-07-27 11:00:00
978-1-915485-60-1,Fisher,Zachary,m,Wolves,10,11,10,2025-07-31 10:40:00
978-0-552-83217-5,Khan,Craig,m,Comets,9,9,9,2025-08-08 23:40:00
978-0-86997-334-9,Fletcher,Sierra,f,Comets,6,11,8,2025-07-02 22:40:00
978-1-925611-77-9,Solomon,Juan,m,Comets,7,7,9,2025-08-14 05:40:00
978-1-161-79491-5,Martin,Cynthia,f,Comets,7,11,7,2025-08-09 22:20:00
978-1-4790-6334-5,Rodriguez,Marie,f,Rangers,7,11,10,2025-07-31 10:40:00
978-1-01-855699-4,Jones,Timothy,m,Rangers,10,6,9,2025-08-14 03:40:00
978-1-74292-864-7,Coffey,William,m,Comets,9,10,7,2025-06-20 08:40:00
978-0-611-97334-4,Williams,Sarah,f,Wolves,8,8,8,2025-07-25 16:20:00
978-0-7362-6597-3,Green,Gavin,m,Wolves,9,7,7,2025-07-20 19:40:00
978-0-03-284106-2,Tapia,Scott,m,Rangers,11,7,9,2025-08-24 16:00:00
978-0-564-04593-8,Buckley,David,m,Comets,9,7,12,2025-07-11 04:40:00
978-0-86623-721-5,Wilson,Elizabeth,f,Wolves,9,9,10,2025-07-01 06:20:00
978-0-561-61552-3,Fisher,Eric,m,Comets,8,8,11,2025-07-02 14:40:00
978-1-121-68760-8,Koch,Tracy,f,Wolves,9,8,8,2025-08-15 21:00:00
978-1-03-711723-7,Carrillo,David,m,Wolves,8,9,11,2025-06-25 16:40:00
978-1-61089-675-7,Bryant,Jill,f,Rangers,7,8,12,2025-06-15 19:20:00
978-0-9703255-4-9,Romero,Melissa,f,Wolves,11,7,9,2025-06-12 02:00:00
978-0-925602-06-0,Lane,Pamela,f,Rangers,10,8,7,2025-08-30 19:40:00
978-1-02-260735-4,Delacruz,Nicholas,m,Wolves,9,8,9,2025-07-26 01:20:00
978-0-554-35749-2,Rodriguez,Mary,f,Rangers,8,9,6,2025-06-20 06:20:00
978-1-4081-9906-0,Martin,Robert,m,Rangers,11,9,9,2025-06-23 22:40:00
978-0-7640-2190-9,Wood,Jason,m,Wolves,6,6,12,2025-07-04 06:20:00
978-0-7717-1206-7,Clark,Mary,f,Comets,9,7,7,2025-08-13 09:20:00
978-1-5388-7644-2,Vargas,Patrick,m,Comets,9,12,12,2025-08-09 10:20:00
978-1-102-82383-4,King,Charles,m,Comets,9,7,9,2025-06-03 19:00:00
978-0-8410-7652-5,Walters,Stephanie,f,Wolves,9,9,10,2025-07-09 01:20:00
978-0-429-03095-6,Harris,Barry,m,Wolves,7,12,6,2025-06-29 01:00:00
978-0-694-44219-5,Reed,Stacey,f,Rangers,8,9,9,2025-08-15 08:20:00
978-1-56082-273-8,Rodriguez,David,m,Rangers,9,6,7,2025-08-07 08:00:00
978-0-15-324790-3,King,Sheila,f,Wolves,11,8,7,2025-08-28 04:20:00
978-1-891888-35-9,Brown,Julie,f,Wolves,8,10,10,2025-08-19 05:20:00
978-1-81210-083-6,Hale,Willie,m,Rangers,9,7,8,2025-07-16 20:40:00
978-0-588-07160-9,Turner,Alexis,f,Comets,6,7,8,2025-08-30 14:00:00
978-1-72525-822-8,Gibbs,Kyle,m,Comets,9,9,10,2025-06-02 16:20:00
978-0-9774945-7-6,Cooley,James,m,Rangers,8,8,12,2025-07-19 11:00:00
