id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-570-23172-1,Terrell,Shannon,f,Eagles,8,12,7,2025-07-20 11:00:00
978-0-89106-743-6,Johnson,Aaron,m,Meteors,10,10,8,2025-08-16 06:00:00
978-1-951417-65-9,Davis,Gregory,m,Eagles,8,8,9,2025-07-05 11:00:00
978-1-04-652241-1,Edwards,Brenda,f,Eagles,7,9,9,2025-08-15 23:00:00
978-1-83803-922-6,Bauer,Curtis,m,Bears,9,7,6,2025-06-15 14:20:00
978-1-338-01551-5,Mendoza,Jeffrey,m,Meteors,9,10,10,2025-08-15 11:20:00
978-1-358-16481-1,Terrell,Katelyn,f,Eagles,9,9,7,2025-08-30 21:20:00
978-1-201-83196-9,Howell,Gary,m,Bears,10,9,8,2025-06-25 00:20:00
978-0-279-91103-0,Long,David,m,Meteors,12,8,8,2025-06-02 06:20:00
978-1-4882-6866-3,Francis,Taylor,f,Eagles,9,9,7,2025-07-08 14:00:00
978-0-601-07090-9,Baker,Jackie,f,Bears,7,9,10,2025-06-08 21:40:00
978-1-271-37261-4,Briggs,Erin,f,Bears,8,9,9,2025-07-20 07:00:00
978-0-341-81579-2,Castillo,Jeremy,m,Eagles,8,8,12,2025-06-23 00:40:00
978-0-00-995803-8,Schaefer,Roberto,m,Bears,7,10,7,2025-06-24 17:00:00
978-0-9701103-2-9,Bond,Richard,m,Bears,8,6,6,2025-07-05 07:20:00
978-0-8270-7111-7,Williamson,Justin,m,Eagles,10,9,9,2025-06-24 17:20:00
978-0-518-38832-6,Nguyen,Christian,m,Bears,6,8,11,2025-07-16 08:40:00
978-0-536-34409-0,Yates,Gerald,m,Bears,6,11,12,2025-06-09 07:00:00
978-0-321-64817-4,Maxwell,Maureen,f,Bears,9,9,9,2025-07-27 21:00:00
978-1-192-02373-2,Hebert,Aaron,m,Bears,8,8,6,2025-06-11 05:40:00
978-0-323-75196-4,Webb,Paul,m,Bears,9,12,8,2025-07-18 00:00:00
978-0-09-270087-3,Kelly,Danielle,f,Bears,10,9,11,2025-07-23 14:40:00
978-0-9661716-7-9,Jenkins,Timothy,m,Meteors,10,10,7,2025-08-24 22:40:00
978-1-74281-370-7,Gill,Jessica,f,Eagles,9,9,12,2025-08-25 10:00:00
978-1-4093-9429-7,Harris,Lonnie,m,Meteors,10,9,7,2025-08-26 05:40:00
978-0-924959-72-1,Marshall,Susan,f,Meteors,12,9,9,2025-08-09 21:00:00
978-0-02-300155-0,Harris,Diana,f,Bears,10,7,10,2025-06-04 15:00:00
978-0-203-43991-3,Graham,Ryan,m,Meteors,11,9,10,2025-08-14 20:00:00
978-1-7367571-2-3,Hernandez,Robert,m,Meteors,7,7,9,2025-08-28 12:20:00
978-1-03-600952-6,Arnold,Zachary,m,Eagles,9,8,8,2025-08-05 05:40:00
978-1-72201-231-1,Baker,Ann,f,Meteors,9,7,7,2025-08-08 01:00:00
978-0-7505-4026-1,Grant,Charles,m,Meteors,7,10,9,2025-08-14 20:00:00
978-0-7447-0672-7,Brown,Stephanie,f,Bears,9,8,8,2025-06-04 10:20:00
978-0-212-87645-7,Finley,Ashley,f,Meteors,8,6,6,2025-07-07 03:20:00
978-1-06-367321-9,Hernandez,Lisa,f,Eagles,9,10,7,2025-06-21 06:00:00
978-0-7590-8281-6,Weeks,Jeff,m,Meteors,6,9,6,2025-07-22 11:20:00
978-1-5086-3559-8,Mendoza,Michael,m,Eagles,9,7,9,2025-08-15 13:20:00
978-0-273-61045-8,Moore,Cassandra,f,Eagles,9,8,10,2025-07-06 07:20:00
978-0-428-64485-7,Flores,Vanessa,f,Eagles,10,6,7,2025-06-24 02:20:00
978-0-530-54996-5,Shaw,Justin,m,Meteors,7,12,9,2025-07-07 01:20:00
978-1-240-93394-5,Graham,Karen,f,Eagles,7,10,7,2025-06-11 06:00:00
978-1-65705-358-8,Marshall,Alan,m,Meteors,9,7,9,2025-07-09 02:40:00
978-0-9973435-5-7,Turner,Garrett,m,Bears,8,8,7,2025-08-24 20:20:00
978-0-12-948338-0,Thompson,Lisa,f,Meteors,10,9,8,2025-07-24 07:40:00
978-1-172-43301-8,Harrison,Jason,m,Bears,9,9,11,2025-06-25 19:00:00
978-1-57785-756-3,Brown,Juan,m,Meteors,7,8,10,2025-08-17 20:00:00
978-1-83789-817-6,Nichols,Luke,m,Eagles,7,11,6,2025-07-13 17:40:00
978-1-929487-67-7,Williams,Edward,m,Bears,9,10,10,2025-08-21 09:00:00
978-0-541-77586-5,Rios,Amber,f,Eagles,9,10,6,2025-08-30 19:40:00
978-0-928828-42-9,Martin,Jonathan,m,Meteors,9,8,8,2025-08-16 13:00:00
