id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-894936-54-5,Garcia,Brandi,f,Wolves,8,9,7,2025-08-22 13:00:00
978-1-5052-1674-5,Williams,Robert,m,Wolves,6,9,9,2025-06-05 03:40:00
978-0-481-46580-2,Gilbert,Holly,f,Wolves,10,9,10,2025-06-03 20:40:00
978-1-946898-34-0,Williams,Rebecca,f,Rangers,10,9,9,2025-08-21 04:40:00
978-1-62993-532-4,Bishop,Sarah,f,Comets,11,6,7,2025-07-31 16:40:00
978-1-5348-1617-6,Cunningham,Linda,f,Wolves,12,9,7,2025-08-02 07:20:00
978-1-78881-351-8,Barton,Shawn,m,Wolves,10,9,7,2025-06-07 22:40:00
978-0-223-89748-9,Erickson,Shannon,f,Comets,12,9,8,2025-07-13 00:20:00
978-0-937867-41-9,Payne,Andrea,f,Wolves,9,10,8,2025-08-03 12:40:00
978-0-642-85899-3,Mcmillan,James,m,Comets,9,7,8,2025-08-15 18:00:00
978-0-9949446-0-3,Wells,James,m,Wolves,9,9,10,2025-07-19 01:40:00
978-1-290-56375-8,Short,Susan,f,Rangers,6,11,12,2025-06-03 22:20:00
978-0-7036-9211-5,Welch,Sarah,f,Rangers,6,8,11,2025-06-28 20:20:00
978-1-74508-619-1,Richard,Angela,f,Comets,10,8,9,2025-07-01 13:00:00
978-1-161-94418-1,Bradley,Erin,f,Rangers,6,7,10,2025-08-18 10:40:00
978-0-7946-2424-8,Brown,Taylor,f,Wolves,9,6,10,2025-08-01 07:20:00
978-1-77125-786-2,Sweeney,Deborah,f,Wolves,10,12,12,2025-07-13 07:40:00
978-1-74479-980-1,Hopkins,William,m,Rangers,10,11,9,2025-06-03 05:00:00
978-1-03-776103-4,Peterson,Sarah,f,Comets,10,6,6,2025-06-21 01:40:00
978-0-85194-892-8,Spears,Linda,f,Rangers,9,7,10,2025-06-24 12:40:00
978-1-57899-300-0,Hernandez,Samantha,f,Comets,7,9,9,2025-07-13 08:00:00
978-0-7159-6087-5,George,David,m,Comets,10,8,8,2025-08-23 04:20:00
978-0-593-51131-2,Mcclure,Helen,f,Rangers,7,11,9,2025-08-02 12:20:00
978-1-82441-710-6,Wolfe,Olivia,f,Rangers,11,10,8,2025-07-12 17:20:00
978-1-4539-9781-9,King,Lisa,f,Rangers,9,8,6,2025-08-13 09:20:00
978-0-642-94501-3,Collins,Mary,f,Wolves,9,8,7,2025-08-16 08:20:00
978-0-09-377549-8,Pena,Joshua,m,Rangers,12,12,8,2025-08-12 05:40:00
978-0-7695-5478-5,Ferguson,Eric,m,Rangers,11,12,8,2025-06-02 15:00:00
978-1-5248-7759-0,Smith,Robert,m,Comets,9,8,7,2025-07-26 14:40:00
978-0-372-67975-2,Pratt,Kimberly,f,Wolves,9,9,8,2025-06-06 16:20:00
978-0-545-09054-4,Ramirez,Michelle,f,Wolves,8,6,7,2025-08-26 15:00:00
978-0-08-769943-4,Norman,Vanessa,f,Rangers,10,7,7,2025-07-22 12:40:00
978-1-369-75398-1,Jensen,Wendy,f,Wolves,11,9,7,2025-07-29 11:00:00
978-0-10-217754-1,Little,Veronica,f,Rangers,6,9,9,2025-07-09 03:00:00
978-1-4354-1409-9,Rogers,Kenneth,m,Rangers,9,9,6,2025-06-01 07:40:00
978-1-172-49863-5,Cain,Lisa,f,Rangers,9,10,6,2025-06-06 00:20:00
978-0-514-23936-3,Watts,Lisa,f,Comets,10,7,10,2025-07-08 02:20:00
978-0-681-33677-3,Salazar,Edward,m,Wolves,8,6,8,2025-07-22 04:20:00
978-0-249-62331-4,Kennedy,Rebecca,f,Rangers,10,6,10,2025-08-11 03:00:00
978-0-538-84346-1,Ross,Lucas,m,Rangers,12,11,10,2025-07-27 11:20:00
978-0-376-18179-4,James,Betty,f,Wolves,7,11,11,2025-08-17 04:20:00
978-1-4335-2686-2,Morales,Jennifer,f,Wolves,10,7,8,2025-07-03 22:20:00
978-1-55091-646-1,Cervantes,Tina,f,Rangers,8,12,8,2025-07-31 18:20:00
978-0-331-18943-8,Boyer,Stephanie,f,Wolves,9,10,7,2025-07-19 06:20:00
978-0-329-89370-5,Haney,Jamie,f,Wolves,11,7,7,2025-06-19 06:00:00
978-1-70286-696-5,Valenzuela,Jessica,f,Wolves,9,9,10,2025-07-15 09:00:00
978-1-05-036570-7,Campos,Derek,m,Wolves,10,8,10,2025-06-13 12:00:00
978-0-7911-6447-1,Cross,Julie,f,Wolves,7,9,11,2025-08-30 07:00:00
978-1-319-49107-9,Little,Daniel,m,Comets,8,8,8,2025-07-10 06:40:00
978-1-362-92884-3,Park,Brian,m,Rangers,7,10,12,2025-08-23 09:20:00
