id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-105-33202-9,Le,Carla,f,Trailblazers,9,8,9,2025-06-08 04:40:00
978-1-388-00256-5,Mcguire,Caitlin,f,Pathfinders,8,11,7,2025-08-23 11:20:00
978-1-70036-860-7,Torres,James,m,Pathfinders,11,8,11,2025-06-28 15:40:00
978-0-16-669867-9,Porter,Frank,m,Eagles,6,10,7,2025-07-18 22:00:00
978-0-8316-7034-4,Parker,Christine,f,Eagles,12,7,8,2025-08-28 05:40:00
978-1-5111-0272-8,Kelly,Kristine,f,Pathfinders,10,11,9,2025-08-22 23:40:00
978-1-211-91702-8,Bass,Lisa,f,Trailblazers,9,7,12,2025-08-02 11:00:00
978-0-470-05010-1,Baker,Andrea,f,Eagles,10,9,9,2025-08-03 12:20:00
978-1-368-73143-0,Hall,Sarah,f,Pathfinders,7,11,9,2025-06-02 02:20:00
978-1-117-07317-0,Anderson,Brittany,f,Trailblazers,9,10,12,2025-06-18 19:40:00
978-1-363-38510-2,Wilson,Leah,f,Trailblazers,10,10,7,2025-07-23 06:20:00
978-0-398-65560-0,Reyes,Carolyn,f,Trailblazers,9,12,6,2025-06-02 16:20:00
978-1-140-89145-1,Young,Christie,f,Pathfinders,8,9,6,2025-07-16 13:00:00
978-0-15-081329-3,Ortega,Jennifer,f,Eagles,9,9,7,2025-06-05 09:20:00
978-0-390-20045-7,Williams,Michele,f,Eagles,9,7,9,2025-07-26 23:40:00
978-1-5290-1843-1,Knapp,Lee,m,Trailblazers,9,11,11,2025-08-30 22:00:00
978-0-7415-7805-1,Johnston,Scott,m,Eagles,11,10,8,2025-06-09 18:40:00
978-1-199-26741-2,Hill,Alexander,m,Pathfinders,10,7,10,2025-08-06 08:00:00
978-0-9908471-0-6,Campbell,John,m,Trailblazers,6,7,8,2025-06-10 10:40:00
978-0-390-87468-9,Vincent,Stephanie,f,Trailblazers,9,9,11,2025-08-17 13:40:00
978-1-5222-5491-1,Tran,Kelsey,f,Trailblazers,12,6,11,2025-07-06 03:20:00
978-1-5304-5755-7,Morrison,Sarah,f,Trailblazers,7,8,10,2025-07-03 01:20:00
978-0-406-20157-7,Long,Cynthia,f,Trailblazers,8,7,9,2025-06-01 14:00:00
978-0-283-36298-9,Blackwell,Laurie,f,Eagles,7,11,12,2025-08-29 07:40:00
978-0-02-702595-8,Sanchez,Adam,m,Pathfinders,9,12,8,2025-07-03 00:20:00
978-0-344-32563-2,Rice,Chloe,f,Eagles,7,6,9,2025-07-12 18:20:00
978-1-04-946406-0,Williams,Sandra,f,Trailblazers,10,8,8,2025-06-14 18:00:00
978-0-254-95683-4,Brown,Destiny,f,Eagles,8,7,11,2025-08-20 12:00:00
978-1-60372-330-5,Allen,Todd,m,Trailblazers,8,7,7,2025-06-15 20:20:00
978-0-654-74434-5,Molina,Lisa,f,Pathfinders,9,6,9,2025-06-15 07:00:00
978-0-258-47708-3,Frye,Robert,m,Trailblazers,7,9,8,2025-07-09 22:00:00
978-0-333-08673-5,Garcia,Kelly,f,Eagles,7,9,6,2025-08-25 19:20:00
978-1-55268-636-2,Barry,Tyler,m,Eagles,11,9,9,2025-08-15 22:40:00
978-1-885177-06-3,Greer,Paige,f,Eagles,9,8,9,2025-08-20 04:40:00
978-1-233-77736-5,Allen,Sarah,f,Eagles,9,11,9,2025-06-20 23:40:00
978-1-950610-03-7,Ramirez,William,m,Pathfinders,8,9,8,2025-08-15 08:00:00
978-0-225-69907-4,Robinson,Jonathan,m,Pathfinders,9,7,8,2025-07-12 07:20:00
978-1-921445-54-5,Baird,Rachel,f,Trailblazers,10,12,8,2025-07-31 04:00:00
978-0-06-557072-4,Walker,Shannon,f,Pathfinders,9,10,7,2025-06-24 19:00:00
978-0-232-98240-4,Bennett,Dillon,m,Trailblazers,9,10,9,2025-07-25 18:40:00
978-0-13-574920-3,Holloway,Sharon,f,Trailblazers,9,10,9,2025-07-13 02:00:00
978-1-906970-25-3,Brewer,Mark,m,Trailblazers,12,8,9,2025-08-15 06:20:00
978-0-544-16320-1,Wood,Natalie,f,Trailblazers,8,6,12,2025-08-26 15:00:00
978-0-12-181394-9,Ray,Joseph,m,Pathfinders,9,9,12,2025-08-22 05:40:00
978-1-318-32469-9,Castillo,Melissa,f,Trailblazers,7,8,7,2025-08-30 20:40:00
978-1-280-38682-4,Banks,Caroline,f,Eagles,12,8,9,2025-08-05 03:00:00
978-0-948285-32-5,Jackson,Margaret,f,Pathfinders,7,6,7,2025-06-26 21:00:00
978-0-07-062491-7,Powell,Crystal,f,Trailblazers,12,10,7,2025-07-03 19:20:00
978-1-5057-2170-6,Ramirez,Cindy,f,Pathfinders,9,7,12,2025-07-29 14:40:00
978-1-01-854942-2,Joyce,Mary,f,Eagles,8,8,9,2025-08-09 04:20:00
