id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-0-305-94545-9,Newton,Jacqueline,f,Stars,7,10,8,2025-06-22 03:40:00
978-0-921571-65-0,Brown,Melissa,f,Adventurers,12,9,8,2025-06-01 21:20:00
978-0-17-947340-9,Hamilton,Mario,m,Pathfinders,11,8,10,2025-06-07 13:40:00
978-0-14-353202-6,Carrillo,Mitchell,m,Pathfinders,9,7,6,2025-06-06 21:40:00
978-0-559-47327-2,Jenkins,Michael,m,Pathfinders,8,9,8,2025-08-22 05:00:00
978-0-344-71794-9,Thompson,Rachel,f,Stars,10,8,10,2025-08-02 05:40:00
978-1-65488-860-2,Wright,Carolyn,f,Pathfinders,6,10,9,2025-06-18 11:20:00
978-0-8265-8678-0,Crawford,Michael,m,Stars,8,8,7,2025-07-31 10:40:00
978-1-5009-8791-6,Peterson,Angela,f,Adventurers,8,7,10,2025-06-30 13:00:00
978-0-399-99778-5,Clarke,Heather,f,Pathfinders,10,7,8,2025-07-24 10:20:00
978-1-71719-743-6,Bailey,Kim,f,Adventurers,6,7,8,2025-08-23 20:00:00
978-1-4835-0257-1,Cruz,Jonathan,m,Adventurers,11,8,10,2025-08-16 22:40:00
978-1-55920-412-5,Ramos,Cynthia,f,Adventurers,6,6,9,2025-06-17 02:00:00
978-1-903354-08-7,Nelson,Andrea,f,Pathfinders,8,8,10,2025-07-25 09:00:00
978-0-227-84062-7,Hill,Derek,m,Adventurers,9,7,11,2025-08-24 17:00:00
978-1-940101-72-9,Choi,Maria,f,Adventurers,12,9,9,2025-07-07 22:40:00
978-0-09-698661-7,Pugh,Sabrina,f,Pathfinders,10,6,7,2025-06-06 15:40:00
978-0-214-36477-8,Martinez,Caroline,f,Pathfinders,10,10,7,2025-07-18 02:00:00
978-0-06-248250-1,Hernandez,Renee,f,Stars,7,11,11,2025-06-09 04:40:00
978-1-998548-38-5,Lopez,Steven,m,Pathfinders,9,9,7,2025-08-29 03:20:00
978-1-929935-23-9,Dickson,Erika,f,Adventurers,9,9,7,2025-06-19 22:20:00
978-1-141-94461-3,Hicks,Brian,m,Stars,8,10,11,2025-08-28 20:20:00
978-1-58092-890-8,Brown,Tim,m,Adventurers,9,12,6,2025-08-02 23:00:00
978-0-608-12181-9,Diaz,Tammy,f,Stars,7,7,7,2025-06-20 21:40:00
978-1-319-62497-2,Wilson,Shane,m,Stars,7,10,7,2025-07-04 01:20:00
978-1-4164-3683-6,Duffy,Dana,f,Adventurers,7,9,11,2025-07-14 15:20:00
978-1-233-88175-8,Williams,Danielle,f,Pathfinders,9,7,6,2025-06-03 10:00:00
978-1-910052-20-4,Carroll,Lindsey,f,Pathfinders,7,9,11,2025-06-03 01:20:00
978-1-5220-0169-0,Harris,Deborah,f,Pathfinders,7,7,7,2025-08-09 14:20:00
978-0-435-53965-8,Anderson,Danny,m,Stars,10,7,12,2025-07-19 10:40:00
978-1-85464-946-1,Rodriguez,Melissa,f,Adventurers,11,9,8,2025-08-03 20:00:00
978-0-288-00442-6,Stone,Angela,f,Adventurers,12,9,8,2025-06-23 03:20:00
978-0-586-99049-0,Manning,Roger,m,Stars,10,10,6,2025-06-11 00:00:00
978-0-582-79499-3,Gray,Daniel,m,Pathfinders,7,8,7,2025-07-05 20:00:00
978-1-86370-882-1,Cohen,Mark,m,Pathfinders,8,6,9,2025-06-14 16:20:00
978-0-592-96463-8,Jones,Heather,f,Adventurers,9,11,8,2025-08-22 12:20:00
978-0-08-083493-1,Ochoa,Derrick,m,Adventurers,8,7,12,2025-07-01 02:20:00
978-0-202-27689-2,Salazar,Jessica,f,Adventurers,10,9,9,2025-07-25 20:40:00
978-0-423-65659-6,Jones,Bethany,f,Adventurers,11,7,10,2025-06-28 00:00:00
978-0-504-73018-4,Clark,Sherry,f,Adventurers,10,8,10,2025-06-16 11:20:00
978-1-4560-7473-9,Nelson,Lisa,f,Stars,9,7,10,2025-06-07 16:20:00
978-1-4928-4041-1,Simmons,Danielle,f,Stars,7,12,8,2025-08-13 14:20:00
978-1-928936-57-2,Ford,Vanessa,f,Stars,12,10,6,2025-07-23 20:20:00
978-0-7864-9996-0,Garcia,Gerald,m,Pathfinders,8,9,7,2025-06-21 07:00:00
978-0-9921770-3-4,Russell,William,m,Stars,9,10,10,2025-07-02 11:00:00
978-1-84976-271-7,Ellis,Gina,f,Pathfinders,7,11,11,2025-06-28 16:00:00
978-1-322-35918-2,Vazquez,Anne,f,Stars,9,9,11,2025-08-04 08:00:00
978-1-06-222118-3,Sanchez,James,m,Stars,8,11,10,2025-07-09 15:20:00
978-0-17-191268-5,Hall,Teresa,f,Stars,7,9,9,2025-08-12 03:40:00
978-1-01-563066-6,Guzman,Carly,f,Stars,6,6,6,2025-07-20 13:00:00
