id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-05-594003-9,Chang,Joe,m,Pathfinders,12,10,6,2025-08-27 14:40:00
978-1-276-44256-5,Diaz,Patrick,m,Pathfinders,8,6,7,2025-07-11 14:40:00
978-0-408-51317-3,Garcia,Jessica,f,Pathfinders,7,12,8,2025-08-03 02:20:00
978-1-137-08582-5,Ware,Natalie,f,Rangers,9,7,9,2025-08-07 21:40:00
978-1-09-934149-6,Smith,Mariah,f,Pathfinders,12,12,8,2025-06-28 01:20:00
978-1-4387-2062-3,Miller,Joanna,f,Rangers,9,9,8,2025-08-21 19:40:00
978-1-296-05200-3,Reynolds,Frank,m,Rangers,11,8,8,2025-08-13 03:00:00
978-0-08-500832-0,Williams,Philip,m,Rangers,12,9,9,2025-06-27 21:00:00
978-1-281-89215-7,Griffin,Karen,f,Pathfinders,8,8,9,2025-07-23 05:40:00
978-0-7090-5648-5,Crawford,Ashley,f,Comets,11,11,9,2025-07-20 19:00:00
978-0-08-189833-8,Reynolds,Michelle,f,Comets,11,7,12,2025-07-23 08:20:00
978-0-607-12600-6,Hudson,Shannon,f,Pathfinders,7,11,10,2025-07-15 06:00:00
978-0-634-62423-0,Taylor,Kevin,m,Comets,9,6,7,2025-08-09 19:40:00
978-1-4386-8354-6,Henderson,Olivia,f,Rangers,9,11,7,2025-08-09 22:00:00
978-1-77059-963-5,Hansen,John,m,Pathfinders,12,9,8,2025-07-15 05:20:00
978-0-7332-9941-4,Villanueva,Christian,m,Pathfinders,8,7,9,2025-07-03 11:00:00
978-1-922613-65-3,Hudson,Annette,f,Comets,9,10,9,2025-06-03 03:40:00
978-1-903591-96-3,Frey,Lisa,f,Comets,11,9,8,2025-08-04 08:20:00
978-1-305-35432-6,Foster,Lisa,f,Comets,7,8,10,2025-08-18 03:40:00
978-0-7580-2407-7,Erickson,Donna,f,Rangers,12,7,10,2025-07-02 08:40:00
978-0-504-96057-4,Boone,Melissa,f,Rangers,8,8,10,2025-07-05 07:40:00
978-1-01-094125-5,Jenkins,Kristen,f,Comets,9,8,9,2025-06-01 11:20:00
978-1-67905-471-6,Carter,Robert,m,Pathfinders,6,11,9,2025-07-15 19:40:00
978-1-295-48619-9,Costa,Ashley,f,Rangers,9,10,8,2025-07-03 02:40:00
978-1-72643-303-7,Moreno,Mary,f,Rangers,10,9,6,2025-06-02 03:00:00
978-1-5061-0612-0,Adkins,Erin,f,Rangers,9,6,6,2025-07-06 02:20:00
978-1-57579-111-1,Brennan,Stacy,f,Rangers,10,12,8,2025-07-13 12:00:00
978-1-81641-973-6,Jackson,Denise,f,Rangers,10,9,7,2025-06-10 09:00:00
978-1-385-58899-4,Henderson,Daniel,m,Rangers,10,9,8,2025-07-11 14:00:00
978-1-61248-155-5,Thompson,Lori,f,Rangers,9,9,9,2025-08-14 14:00:00
978-1-5259-8531-7,Thompson,Annette,f,Comets,8,10,7,2025-06-03 05:00:00
978-1-116-29683-9,Patrick,Walter,m,Comets,9,10,9,2025-06-04 12:00:00
978-0-554-14561-7,Fisher,Eric,m,Pathfinders,12,10,7,2025-07-03 21:20:00
978-1-75907-786-4,Delgado,Brenda,f,Comets,8,10,9,2025-08-04 10:00:00
978-1-69539-342-4,Nash,Jo,f,Rangers,9,9,6,2025-08-17 18:00:00
978-0-13-217461-9,Johnson,Pamela,f,Pathfinders,9,10,10,2025-07-02 22:20:00
978-1-928860-53-2,Gonzalez,Ashley,f,Rangers,6,7,8,2025-06-01 16:20:00
978-0-8360-6879-5,Hall,Nancy,f,Pathfinders,8,9,12,2025-08-15 17:20:00
978-0-7365-0199-6,Jackson,Blake,m,Rangers,7,7,7,2025-07-06 23:40:00
978-1-964032-41-2,Lane,Tina,f,Rangers,11,7,9,2025-07-19 05:40:00
978-1-887184-60-1,Miller,Christine,f,Comets,8,11,9,2025-07-17 12:20:00
978-1-222-75937-2,Smith,Jessica,f,Pathfinders,9,7,7,2025-06-24 13:40:00
978-0-523-54935-4,Peck,Linda,f,Pathfinders,10,7,8,2025-06-22 00:40:00
978-0-88990-169-8,Davila,James,m,Rangers,8,7,10,2025-08-09 10:20:00
978-1-936531-82-0,Lee,Steven,m,Pathfinders,8,11,9,2025-06-23 02:00:00
978-1-4330-0619-7,Hanson,Gina,f,Pathfinders,9,11,9,2025-08-23 20:40:00
978-0-8251-6019-6,Dillon,Sherry,f,Comets,6,9,11,2025-07-20 09:00:00
978-0-8128-6093-1,Ross,Colleen,f,Pathfinders,10,10,9,2025-07-20 09:40:00
978-1-7365234-1-4,Cox,Joan,f,Comets,9,6,9,2025-07-07 13:00:00
978-0-10-392003-0,Wright,Samantha,f,Comets,7,8,9,2025-06-21 11:40:00
