id,last_name,first_name,gender,troop_name,outdoor_survival_mark,camp_cooking_mark,orienteering_relay_mark,timestamp
978-1-383-84511-2,Bradley,Kayla,f,Outlanders,8,10,6,2025-06-03 20:20:00
978-0-901062-86-4,Lane,Lori,f,Beavers,6,7,9,2025-07-20 00:40:00
978-1-926609-22-5,Williams,Amy,f,Bears,8,8,9,2025-06-29 00:20:00
978-1-4439-9558-0,Brown,Amanda,f,Bears,12,6,12,2025-07-10 04:00:00
978-0-558-50221-8,Martinez,Scott,m,Outlanders,7,11,6,2025-07-12 08:20:00
978-1-4422-7720-5,Lowe,Charles,m,Beavers,7,8,10,2025-08-30 23:40:00
978-0-489-41379-9,Ellis,Mia,f,Outlanders,8,6,9,2025-08-28 04:40:00
978-1-167-72235-6,English,Nathan,m,Beavers,9,7,8,2025-06-16 15:20:00
978-0-524-97597-8,Mclaughlin,Desiree,f,Beavers,12,8,9,2025-07-06 11:20:00
978-1-5272-1085-1,Smith,Kelsey,f,Bears,10,9,10,2025-08-08 09:00:00
978-0-14-472853-4,Fleming,Robert,m,Outlanders,9,11,9,2025-08-02 22:40:00
978-0-221-54167-4,Franco,Paul,m,Bears,10,9,8,2025-06-11 05:40:00
978-1-07-575327-5,Green,Cynthia,f,Bears,11,8,10,2025-07-24 02:40:00
978-1-68495-893-1,Griffin,Carlos,m,Outlanders,7,10,8,2025-08-21 18:00:00
978-0-9537404-4-4,Hoffman,Nancy,f,Beavers,10,8,7,2025-08-07 19:40:00
978-1-70306-680-7,Guzman,Catherine,f,Bears,10,7,9,2025-07-26 16:20:00
978-1-65005-663-0,Patterson,Christopher,m,Bears,8,10,7,2025-07-11 01:40:00
978-0-308-61611-0,Perez,Emily,f,Beavers,9,9,7,2025-08-18 05:00:00
978-1-5309-8315-5,Sparks,Kristin,f,Bears,7,11,7,2025-06-18 08:00:00
978-0-340-83145-8,Contreras,Morgan,f,Beavers,9,10,8,2025-07-27 03:20:00
978-0-451-94606-5,Carney,Alexis,f,Bears,10,10,7,2025-08-21 19:20:00
978-0-523-67205-2,Hughes,Peter,m,Bears,9,11,8,2025-07-03 22:40:00
978-0-87959-904-1,Johnson,Joshua,m,Outlanders,10,9,6,2025-08-01 06:20:00
978-0-512-69476-8,Park,Barbara,f,Beavers,8,8,9,2025-07-28 19:00:00
978-0-448-90805-2,King,Garrett,m,Outlanders,9,10,6,2025-08-23 07:00:00
978-0-250-13270-6,White,Ryan,m,Outlanders,6,8,12,2025-07-18 07:00:00
978-0-618-08112-7,Jones,Wendy,f,Bears,10,9,6,2025-08-10 15:20:00
978-0-7274-3869-0,Dominguez,Jennifer,f,Beavers,9,9,7,2025-06-21 20:00:00
978-0-477-49323-9,Santana,Tanya,f,Outlanders,6,9,6,2025-06-11 17:40:00
978-0-253-27972-9,Meyer,Olivia,f,Outlanders,7,12,8,2025-06-25 13:00:00
978-0-669-84407-8,Dickson,Alejandro,m,Bears,10,9,7,2025-06-26 05:00:00
978-0-05-945953-0,Jackson,Eric,m,Beavers,10,10,12,2025-08-13 05:00:00
978-0-521-77115-3,Hill,Stephen,m,Bears,9,10,11,2025-07-08 18:40:00
978-0-85330-899-7,May,Wyatt,m,Outlanders,12,8,11,2025-07-09 13:20:00
978-0-16-312748-6,Delgado,Mark,m,Beavers,10,8,8,2025-06-06 02:00:00
978-1-117-20794-0,Carpenter,Laura,f,Beavers,6,12,9,2025-06-07 04:40:00
978-1-00-149523-1,Keller,Hannah,f,Beavers,7,10,9,2025-07-12 12:40:00
978-1-4615-6194-1,Weaver,Amanda,f,Outlanders,11,12,9,2025-07-18 15:40:00
978-1-77582-570-8,Hall,Patricia,f,Outlanders,9,7,10,2025-06-18 11:00:00
978-0-914899-38-9,Burns,Elizabeth,f,Beavers,11,7,9,2025-07-17 21:20:00
978-0-7724-1333-8,Brown,Dominique,f,Outlanders,8,8,9,2025-06-27 15:20:00
978-0-551-80327-5,Cruz,Stephanie,f,Beavers,11,9,10,2025-08-24 01:00:00
978-0-438-17634-8,Schmidt,Matthew,m,Beavers,6,9,10,2025-07-08 19:00:00
978-1-08-163726-2,Miller,Katherine,f,Beavers,10,7,7,2025-07-24 06:00:00
978-0-691-85123-5,Baldwin,James,m,Beavers,10,11,9,2025-06-11 20:20:00
978-0-541-50161-7,Keller,Adam,m,Beavers,10,10,8,2025-07-07 07:40:00
978-1-07-391101-1,Reyes,Annette,f,Bears,8,10,9,2025-06-25 04:20:00
978-0-07-325261-2,Zimmerman,Cory,m,Beavers,8,12,7,2025-07-26 23:20:00
978-1-4412-1796-7,Martinez,Keith,m,Beavers,12,9,7,2025-07-08 18:20:00
978-1-239-12598-6,Ritter,Manuel,m,Beavers,8,8,7,2025-07-25 04:00:00
